gene	ensembl	gene_description	sample_1	sample_10	sample_11	sample_12	sample_13	sample_14	sample_15	sample_16	sample_17	sample_18	sample_19	sample_2	sample_20	sample_21	sample_22	sample_23	sample_24	sample_25	sample_26	sample_27	sample_28	sample_29	sample_3	sample_30	sample_31	sample_32	sample_33	sample_34	sample_35	sample_36	sample_37	sample_38	sample_39	sample_4	sample_40	sample_41	sample_42	sample_43	sample_44	sample_45	sample_46	sample_47	sample_48	sample_49	sample_5	sample_50	sample_53	sample_54	sample_55	sample_56	sample_57	sample_58	sample_59	sample_6	sample_7	sample_8	sample_9
RBMY1J	ENSG00000226941	RNA binding motif protein, Y-linked, family 1, member J	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.001		0.0	0.0	0.0		0.0
CDY1	ENSG00000172288	Chromodomain Y-linked 1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0		0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0
CDY1B	ENSG00000172352	Chromodomain Y-linked 1B	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			0.0
RBMY1F	ENSG00000169800	RNA binding motif protein, Y-linked, family 1, member F	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0
OR14A16	ENSG00000196772	Olfactory receptor family 14 subfamily A member 16	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.049	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0
FOXB2	ENSG00000204612	Forkhead box B2		0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0		0.0	0.0	0.0			0.0	0.0	0.0	0.0	0.0		0.0	0.0		0.0
OR5D13	ENSG00000279761	Olfactory receptor family 5 subfamily D member 13 (gene/pseudogene)		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0		0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			0.0
DEFB4B	ENSG00000177257	Defensin beta 4B	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0		0.0		0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0		
TRIM64	ENSG00000204450	Tripartite motif containing 64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			0.0	0.0	0.0	0.027000000000000003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PRY	ENSG00000169789	PTPN13-like, Y-linked	0.0			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.011000000000000001	0.0	0.0	0.0	0.0	0.0	0.0		0.0
FTHL17	ENSG00000132446	Ferritin heavy chain like 17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.054000000000000006	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			0.0
PRY2	ENSG00000169807	PTPN13-like, Y-linked 2	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.011000000000000001	0.0	0.0	0.0	0.0	0.0	0.0		0.0
OR9Q2	ENSG00000186513	Olfactory receptor family 9 subfamily Q member 2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0		0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.022000000000000002	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			
OR4C16	ENSG00000279514	Olfactory receptor family 4 subfamily C member 16 (gene/pseudogene)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.043	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0		0.0
OR5M1	ENSG00000255012	Olfactory receptor family 5 subfamily M member 1	0.0		0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0		0.0
PABPC1L2B	ENSG00000184388	Poly(A) binding protein cytoplasmic 1 like 2B	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			0.0	0.0	0.011000000000000001	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LCE4A	ENSG00000187170	Late cornified envelope 4A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0		0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0		0.0	0.0	0.017	0.0	0.0	0.0	0.0	0.0	0.0		0.0
OR4F15	ENSG00000182854	Olfactory receptor family 4 subfamily F member 15	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0		0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OR4K17	ENSG00000176230	Olfactory receptor family 4 subfamily K member 17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.013000000000000001	0.0	0.0	0.0	0.0	0.0	0.0		0.0
OR7A10	ENSG00000127515	Olfactory receptor family 7 subfamily A member 10	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0		0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.085	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0
OR4E1	ENSG00000276240	Olfactory receptor family 4 subfamily E member 1 (gene/pseudogene)		0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0
OR51T1	ENSG00000176900	Olfactory receptor family 51 subfamily T member 1	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.040999999999999995	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OR2T27	ENSG00000187701	Olfactory receptor family 2 subfamily T member 27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.046		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OR5H14	ENSG00000236032	Olfactory receptor family 5 subfamily H member 14	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0		0.0		0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0		0.0	0.0	0.0	0.0	0.168	0.0		0.0
KRTAP15-1	ENSG00000186970	Keratin associated protein 15-1	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			0.0	0.0	0.0	0.028999999999999998	0.0	0.0	0.0	0.0		0.0
LCE3C	ENSG00000244057	Late cornified envelope 3C	0.0		0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			0.087	0.0	0.0	0.0	0.0		0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OR4K15	ENSG00000169488	Olfactory receptor family 4 subfamily K member 15	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0		0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.023	0.0			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0
OR51A2	ENSG00000205496	Olfactory receptor family 51 subfamily A member 2	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0		0.017	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			0.0	0.0	0.0	0.0	0.0
OR4E2	ENSG00000221977	Olfactory receptor family 4 subfamily E member 2	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	
OR8H3	ENSG00000181761	Olfactory receptor family 8 subfamily H member 3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0		0.221	0.0		0.0	0.0			0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0
USP17L1	ENSG00000230549	Ubiquitin specific peptidase 17-like family member 1	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0			0.0	0.0	0.0	0.0		0.0		0.0		0.0	0.0	0.0		0.0		0.0			0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.0		0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0		0.0
IFNA2	ENSG00000188379	Interferon alpha 2	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0			0.0	0.0	0.01		0.0		0.0	0.0	0.0		0.0
OR8B12	ENSG00000170953	Olfactory receptor family 8 subfamily B member 12	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.013000000000000001	0.0	0.0	0.0	0.0		0.0
OR5AR1	ENSG00000172459	Olfactory receptor family 5 subfamily AR member 1 (gene/pseudogene)	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			0.0
OR6C74	ENSG00000197706	Olfactory receptor family 6 subfamily C member 74	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0		0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0		0.0	0.0	0.018000000000000002	0.0	0.0	0.0	0.0	0.0	0.0		0.0
OR5K3	ENSG00000206536	Olfactory receptor family 5 subfamily K member 3	0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0		0.0	0.0	0.0		0.0	0.0	0.013999999999999999	0.0	0.0	0.0	0.0		0.0		0.0
SPATA31D3	ENSG00000186788	SPATA31 subfamily D member 3	0.0	0.0	0.0	0.0		0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0		0.0		0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0		0.0
TSPY4	ENSG00000233803	Testis specific protein, Y-linked 4	0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0
DEFB112	ENSG00000180872	Defensin beta 112	0.0	0.0	0.0	0.0	0.0	0.0					0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			0.0	0.0	0.0		0.0	0.0	0.0		0.0	0.0	0.0	0.0		0.0	0.0			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0
OPN1MW2	ENSG00000166160	Opsin 1, medium wave sensitive 2		0.0		0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RNASE12	ENSG00000258436	Ribonuclease A family member 12 (inactive)	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.081	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0		0.0	0.0	0.0		0.0		0.0
USP17L4	ENSG00000236125	Ubiquitin specific peptidase 17-like family member 4	0.0	0.0	0.0	0.0	0.0	0.0	0.0			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.024	0.0	0.0	0.0		0.0	0.0	0.0	0.0			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			0.0
CXorf51B	ENSG00000235699	Chromosome X open reading frame 51B	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0		0.0	0.0	0.0		0.0		0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0		0.0
CXorf51A	ENSG00000224440	Chromosome X open reading frame 51A	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0
TSPY1	ENSG00000258992	Testis specific protein, Y-linked 1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0			0.0	0.0	0.0	0.10300000000000001	0.0	0.0	0.0		0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		
OR4F16	ENSG00000284662	Olfactory receptor family 4 subfamily F member 16	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0		0.0
OPN1MW3	ENSG00000269433	Opsin 1, medium wave sensitive 3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0		0.0	0.0			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	
