ensembl_gene_id	external_gene_name	chromosome_name	start_position	end_position
ENSG00000229599	LINC00411	13	101593116	101596618
ENSG00000236339	POM121L13P	13	29352695	29353074
ENSG00000272349	RP11-397O8.7	13	102369198	102369728
ENSG00000221670	AL596092.1	13	29796699	29796778
ENSG00000201155	RNU1-24P	13	102431234	102431398
ENSG00000236758	MTUS2-AS2	13	29813516	29824691
ENSG00000215399	HMGB3P7	13	102454228	102454838
ENSG00000265164	MIR2681	13	102619992	102620096
ENSG00000223460	GAPDHP69	13	29880915	29881922
ENSG00000229975	LIPT1P1	13	102654475	102655660
ENSG00000270680	RP11-351N4.4	13	29913703	29914006
ENSG00000201690	RNY1P2	13	102669303	102669419
ENSG00000179141	MTUS2-AS1	13	30050652	30064242
ENSG00000264482	MIR4705	13	102698284	102698354
ENSG00000236860	RPL39P29	13	102915396	102915552
ENSG00000236258	TIMM8BP1	13	30440096	30440306
ENSG00000224329	LINC00297	13	30446750	30462542
ENSG00000243319	FGF14-IT1	13	102944677	103046869
ENSG00000224405	LINC00572	13	30492784	30500788
ENSG00000234445	FGF14-AS1	13	103019889	103026016
ENSG00000122043	LINC00544	13	30510042	30524625
ENSG00000272143	FGF14-AS2	13	103046980	103048053
ENSG00000266505	RP11-629E24.2	13	30596158	30597937
ENSG00000270581	RP11-811P12.3	13	103053821	103054807
ENSG00000261057	LINC00555	13	103241722	103242163
ENSG00000224511	LINC00365	13	30677315	30683012
ENSG00000269942	RP11-29B2.5	13	103331776	103332308
ENSG00000232117	LINC00384	13	30726023	30733758
ENSG00000238869	snoU13	13	103374152	103374255
ENSG00000231633	LINC00283	13	103395340	103397574
ENSG00000232643	LINC00385	13	30728203	30728723
ENSG00000222301	RNY5P8	13	103472343	103472419
ENSG00000266816	AL356750.1	13	30780753	30780836
ENSG00000252928	RNU6-64P	13	30855902	30856006
ENSG00000250878	METTL21EP	13	103532449	103548383
ENSG00000215049	PRDX2P1	13	30870284	30870872
ENSG00000272542	RP11-255P5.2	13	103541208	103542184
ENSG00000236463	LINC00427	13	30890497	30894040
ENSG00000234551	RP11-123H22.1	13	104077550	104080035
ENSG00000230474	ATP6V1G1P7	13	104096970	104097318
ENSG00000225823	RPL7P45	13	105466678	105467420
ENSG00000232307	DAOA-AS1	13	106111404	106158030
ENSG00000238121	LINC00426	13	30914407	30951282
ENSG00000226620	LINC00343	13	106356629	106416789
ENSG00000225039	LINC01058	13	30993656	30996374
ENSG00000261577	JUP	HG185_PATCH	39910856	39943183
ENSG00000252550	SNORA25	13	106549872	106549992
ENSG00000236444	UBE2L5P	13	31002084	31002656
ENSG00000222643	AL603632.1	13	106780720	106780837
ENSG00000222682	RNA5SP38	13	106807721	106807839
ENSG00000213411	RBM22P2	13	31113734	31117598
ENSG00000233532	LINC00460	13	107028911	107030565
ENSG00000232489	MFAP1P1	13	31115780	31117034
ENSG00000174418	RPL35P9	13	107078121	107078470
ENSG00000224117	PTPN2P2	13	31127807	31128830
ENSG00000272274	LINC00551	13	107270158	107283707
ENSG00000230156	LINC00443	13	107306264	107324511
ENSG00000237879	LINC00398	13	31377343	31384782
ENSG00000227590	ATP5G1P5	13	107315785	107316195
ENSG00000174408	PPIAP24	13	107516164	107516634
ENSG00000224743	TEX26-AS1	13	31456070	31507983
ENSG00000196777	AL162574.1	13	107594562	107594907
ENSG00000239050	AL354741.1	13	107627286	107627374
ENSG00000221316	AL445204.1	13	107773381	107773471
ENSG00000201847	SNORD31	13	107973243	107973311
ENSG00000221650	MIR1267	13	108183519	108183596
ENSG00000221473	AL138710.1	13	108288379	108288464
ENSG00000227248	FAM155A-IT1	13	108440690	108487799
ENSG00000223177	RNA5SP39	13	108953560	108953679
ENSG00000232087	HCFC2P1	13	109132574	109134165
ENSG00000229938	MYO16-AS2	13	109753609	109754267
ENSG00000236094	LINC00545	13	31456688	31457532
ENSG00000236242	MYO16-AS1	13	109816250	109853831
ENSG00000238185	RP11-252M21.6	13	31547426	31551760
ENSG00000223617	LINC00370	13	109934321	109940081
ENSG00000230233	AF240627.2	21	19986749	20022678
ENSG00000230403	LINC01066	13	31569299	31570275
ENSG00000236053	LINC01067	13	109962483	109964121
ENSG00000261163	LEPREL4	HG185_PATCH	39958199	39968855
ENSG00000265841	MIR548X	21	20058408	20058482
ENSG00000231894	WDR95P	13	31651391	31689836
ENSG00000229792	LINC00399	13	110053043	110053988
ENSG00000221041	AP001537.1	21	20076689	20076772
ENSG00000234854	LINC00676	13	110380629	110382354
ENSG00000198618	PPIAP22	21	20230097	20230594
ENSG00000229427	ANKRD26P4	13	31885426	31887058
ENSG00000255813	AL162497.1	13	110407168	110407615
ENSG00000201161	RN7SKP10	13	110567443	110567767
ENSG00000231428	LINC00396	13	110705632	110707299
ENSG00000232193	AL157359.4	21	20290252	20308177
ENSG00000229715	EEF1DP3	13	32420978	32527609
ENSG00000226204	AL157359.3	21	20325582	20339376
ENSG00000265885	RN7SL783P	13	110750200	110750498
ENSG00000238629	snoU13	13	111066552	111066653
ENSG00000235965	AP000431.1	21	20418629	20420003
ENSG00000224821	COL4A2-AS2	13	111108743	111115634
ENSG00000235822	LINC01073	13	32559822	32565134
ENSG00000229289	AP000431.2	21	20502841	20506741
ENSG00000237637	FRY-AS1	13	32599451	32605776
ENSG00000232814	COL4A2-AS1	13	111154922	111160526
ENSG00000226818	SLC6A6P1	21	20616860	20618709
ENSG00000230633	RP11-37E23.5	13	32872291	32872849
ENSG00000255831	AL139385.1	13	111291555	111292340
ENSG00000231620	AP000855.4	21	20673930	20676056
ENSG00000215515	IFIT1P1	13	32958797	32960245
ENSG00000225239	RPL21P107	13	111415021	111415480
ENSG00000212609	RNU1-139P	21	20717465	20717629
ENSG00000259831	LINC00567	13	111462023	111465431
ENSG00000212293	SNORA16	13	32994527	32994653
ENSG00000230198	RPL37P4	21	20966155	20966422
ENSG00000270008	RP11-298P3.4	13	32999495	33007091
ENSG00000229152	ANKRD10-IT1	13	111547406	111551519
ENSG00000271486	AP000403.3	21	20993009	20993859
ENSG00000229336	AP000568.2	21	21112023	21112464
ENSG00000229800	ATP8A2P2	13	33051411	33052978
ENSG00000227105	PARP1P1	13	111589106	111592131
ENSG00000215353	C1QBPP	21	21131673	21132442
ENSG00000233480	AP000946.2	21	21265593	21272069
ENSG00000225760	LINC00431	13	111635654	111642911
ENSG00000233236	AP001171.1	21	21629065	21631133
ENSG00000225870	LINC00368	13	111748185	111755444
ENSG00000251851	RNU6-772P	21	21728060	21728164
ENSG00000252963	RN7SKP147	21	21728965	21729208
ENSG00000235875	ARHGEF7-AS2	13	111766159	111768025
ENSG00000207325	RNY1P4	13	33337576	33337690
ENSG00000233676	FDPSP6	21	21760646	21761157
ENSG00000226968	LINC00423	13	33451569	33485788
ENSG00000233644	ARHGEF7-IT1	13	111774999	111796611
ENSG00000234439	KRT18P2	21	21797261	21798518
ENSG00000227352	ARHGEF7-AS1	13	111796652	111797080
ENSG00000227604	TOMM22P3	13	33528195	33528539
ENSG00000233206	RPS3AP1	21	21802755	21803074
ENSG00000221677	AL161898.1	13	33615489	33615580
ENSG00000215881	RP11-65D24.1	13	112248356	112294426
ENSG00000230300	STARD13-IT1	13	33732724	33738546
ENSG00000261258	FKBP10	HG185_PATCH	39968962	39979465
ENSG00000226903	LINC00354	13	112554299	112555490
ENSG00000224924	LINC00320	21	22114908	22175534
ENSG00000264989	AL136302.1	13	112563079	112563148
ENSG00000200072	SNORD44	13	112706392	112706452
ENSG00000260385	RP11-450H6.3	13	112737863	112739785
ENSG00000229520	LINC00404	13	112760409	112761196
ENSG00000215351	PPIAP1	21	22200445	22200940
ENSG00000224243	LINC00403	13	112761433	112762329
ENSG00000226771	AP001136.2	21	22595616	22599150
ENSG00000260102	LINC01070	13	112851664	112855314
ENSG00000221210	AP001137.1	21	22770068	22770146
ENSG00000234730	AF241725.4	21	22939084	22987758
ENSG00000260343	LINC01043	13	112967781	112976072
ENSG00000198434	AF241725.1	21	23006773	23007049
ENSG00000223626	LINC01044	13	112976881	112985539
ENSG00000237527	AF241725.6	21	23027359	23058649
ENSG00000264726	AL162711.1	13	113372159	113372228
ENSG00000232684	ATP11A-AS1	13	113399763	113409007
ENSG00000238265	LINC00317	21	23095613	23109639
ENSG00000234603	AL356740.1	13	113539551	113539994
ENSG00000236581	STARD13-AS	13	33845516	33855471
ENSG00000267868	RP11-120K24.3	13	113619149	113620445
ENSG00000188403	IGHV1OR15-9	15	20169919	20170354
ENSG00000235280	MCF2L-AS1	13	113621798	113623138
ENSG00000269356	RP11-120K24.4	13	113663092	113663738
ENSG00000233997	AP000475.2	21	23119293	23169735
ENSG00000269376	RP11-120K24.5	13	113663985	113664633
ENSG00000231882	F10-AS1	13	113782469	113783194
ENSG00000230371	KARSP2	13	113784730	113786368
ENSG00000259490	IGHV3OR15-7	15	20192909	20193370
ENSG00000269125	RP11-98F14.11	13	113819316	113819497
ENSG00000227075	AP000472.3	21	23305635	23348000
ENSG00000232662	LDHBP1	13	113930931	113932049
ENSG00000270961	IGHD5OR15-5A	15	20209093	20209115
ENSG00000225083	GRTP1-AS1	13	114005988	114016183
ENSG00000233215	AP000472.2	21	23381263	23470778
ENSG00000233613	DCUN1D2-AS	13	114123216	114130450
ENSG00000271317	IGHD4OR15-4A	15	20210050	20210068
ENSG00000202347	RNU1-16P	13	114133230	114133393
ENSG00000227208	LINC00552	13	114451484	114454062
ENSG00000270783	IGHD3OR15-3A	15	20211158	20211188
ENSG00000233695	GAS6-AS1	13	114518603	114542321
ENSG00000271197	IGHD2OR15-2A	15	20213655	20213685
ENSG00000272695	GAS6-AS2	13	114567141	114569806
ENSG00000184856	LINC00308	21	23470936	23488847
ENSG00000227911	RP11-141M1.1	13	33907816	33909414
ENSG00000237699	RP11-199F6.4	13	114580581	114582349
ENSG00000271336	IGHD1OR15-1A	15	20216406	20216422
ENSG00000264288	AL138999.1	13	33911020	33911109
ENSG00000265259	RN7SL247P	18	21852889	21853170
ENSG00000260753	NT5C3B	HG185_PATCH	39981433	39992515
ENSG00000234340	AP000705.8	21	23507018	23508403
ENSG00000230490	RP11-141M1.3	13	33929343	34250905
ENSG00000212051	MIR320C2	18	21901650	21901699
ENSG00000226921	LINC00454	13	114581673	114586624
ENSG00000264365	RP11-621L6.2	18	21944751	21947948
ENSG00000273321	RP11-621L6.3	18	21982117	21982678
ENSG00000234535	RP11-37L2.1	13	34185104	34185659
ENSG00000232986	RP11-179A7.2	13	34231573	34234065
ENSG00000199636	Y_RNA	18	22009469	22009573
ENSG00000265094	RP11-178F10.1	18	22015328	22019602
ENSG00000252397	RNU5A-4P	13	34403676	34403786
ENSG00000263663	AL161891.1	13	34486129	34486218
ENSG00000227254	VDAC1P12	13	34656566	34657447
ENSG00000229373	LINC00452	13	114586640	114626485
ENSG00000199196	SNORA25	13	34674848	34674975
ENSG00000215405	GOLGA6L6	15	20737094	20747114
ENSG00000271850	RP11-16D22.2	13	34922180	35188307
ENSG00000225179	LINC00457	13	35009587	35214822
ENSG00000231136	AP000705.6	21	23526270	23526619
ENSG00000260910	LINC00565	13	114629487	114631817
ENSG00000271901	RP11-266E6.3	13	35120066	35245319
ENSG00000202339	RNU4-45P	21	23577511	23577651
ENSG00000232487	RASA3-IT1	13	114873044	114874295
ENSG00000226043	AP000705.7	21	23582258	23793139
ENSG00000231910	GAMTP2	13	35148341	35148803
ENSG00000264539	MIR548AR	13	115009980	115010036
ENSG00000261728	RP11-307O13.1	13	35499971	35502213
ENSG00000223488	MAPK6PS2	21	23808610	23810669
ENSG00000265450	MIR4502	13	115039303	115039383
ENSG00000232795	SCAND3P1	13	35759431	35760816
ENSG00000226158	CLCP2	13	115072121	115072541
ENSG00000234835	PHBP13	13	35825207	35825966
ENSG00000229723	LINC01054	13	115095034	115099423
ENSG00000268343	AC012414.1	15	21004687	21005367
ENSG00000221519	AL390071.1	13	36068551	36068674
ENSG00000236036	LINC00445	13	36271661	36273393
ENSG00000207203	RNU6-71P	13	36841305	36841411
ENSG00000169861	IGHV1OR21-1	21	10862622	10863067
ENSG00000266047	AL139377.1	13	36929928	36930015
ENSG00000223383	HIST1H2APS6	13	37064215	37064578
ENSG00000222602	AL136160.1	13	37302739	37302829
ENSG00000235306	GAPDHP34	13	37314178	37315000
ENSG00000223543	TCEAL4P1	13	37316015	37316602
ENSG00000215486	ARL2BPP3	13	37363469	37369187
ENSG00000261631	KLHL10	HG185_PATCH	39991937	40004636
ENSG00000230031	POTEB2	15	21040701	21071643
ENSG00000271337	NDE1P2	13	37378335	37379439
ENSG00000236711	SMAD9-AS1	13	37423503	37424183
ENSG00000228825	LAMTOR3P1	13	37496676	37497045
ENSG00000232378	RPL29P28	13	37500575	37501356
ENSG00000226161	EIF4A1P5	13	37512537	37513631
ENSG00000221100	AL138706.1	13	37608814	37608929
ENSG00000202395	RN7SKP1	13	37740489	37740795
ENSG00000230283	RPS12P24	13	37794997	37795383
ENSG00000234034	AP000959.2	21	23872924	23892377
ENSG00000230390	LINC01048	13	38055604	38058906
ENSG00000263796	RN7SL609P	21	24052992	24053286
ENSG00000199276	RNA5SP26	13	38428989	38429107
ENSG00000225906	AP000949.1	21	24254903	24256321
ENSG00000228036	HSPD1P9	13	38567222	38568857
ENSG00000230972	AP001255.2	21	24437813	24503528
ENSG00000259896	KLHL11	HG185_PATCH	40009797	40021683
ENSG00000223685	LINC00571	13	38624954	38717369
ENSG00000219368	ZNF299P	21	24462350	24464153
ENSG00000236354	LINC00437	13	39107480	39119436
ENSG00000231058	MSANTD2P1	21	24473545	24475396
ENSG00000229437	LINC00366	13	39150777	39153131
ENSG00000223078	RNU2-55P	21	24654058	24654231
ENSG00000234701	PRDX3P3	13	39191556	39192077
ENSG00000228592	AP000459.4	21	24733426	24757182
ENSG00000252795	RNU6-56P	13	39353561	39353653
ENSG00000212049	AL590007.1	13	39364781	39364891
ENSG00000270824	IGHD5OR15-5B	15	21215823	21215845
ENSG00000225350	FREM2-AS1	13	39395935	39401707
ENSG00000225221	PLA2G12AP2	13	39476524	39476787
ENSG00000270451	IGHD4OR15-4B	15	21216780	21216798
ENSG00000235550	ANKRD26P2	13	39496864	39510336
ENSG00000223822	EEF1A1P1	21	24762579	24763317
ENSG00000271255	IGHD3OR15-3B	15	21217888	21217918
ENSG00000214823	NXT1P1	13	39743773	39744088
ENSG00000271305	IGHD2OR15-2B	15	21220377	21220407
ENSG00000238408	snoU13	13	40021252	40021353
ENSG00000216014	AL512505.1	13	40226715	40226806
ENSG00000264171	MIR4305	13	40238171	40238272
ENSG00000237569	TUBAP	21	24779978	24781448
ENSG00000200526	RNY4P14	13	40359552	40359647
ENSG00000224351	CDKN2AIPNLP3	13	40391878	40392186
ENSG00000138593	SECISBP2L	15	49280673	49338760
ENSG00000270444	AZU1P1	13	40430847	40431231
ENSG00000212553	SNORD116	13	40431272	40431364
ENSG00000270185	IGHD1OR15-1B	15	21223129	21223145
ENSG00000230710	LINC00332	13	40755946	40763165
ENSG00000271429	RPL17P51	13	40798762	40798999
ENSG00000207458	RNY3P9	13	40800964	40801069
ENSG00000268531	DKFZP547L112	15	22011370	22012050
ENSG00000230058	RP11-172E9.2	13	40918094	40924440
ENSG00000252812	RN7SKP2	13	40981259	40981577
ENSG00000215483	LINC00598	13	41025131	41055143
ENSG00000229456	RLIMP1	13	41192875	41195485
ENSG00000211491	MIR320D1	13	41301964	41302011
ENSG00000207652	MIR621	13	41384902	41384997
ENSG00000168852	TPTE2P5	13	41396432	41495890
ENSG00000233917	POTEB	15	22051853	22083227
ENSG00000166157	TPTE	21	10906201	11029719
ENSG00000260245	ACLY	HG185_PATCH	40023160	40075239
ENSG00000176268	CYCSP34	13	41437735	41438038
ENSG00000239827	SUGT1P3	13	41482295	41495910
ENSG00000229473	RGS17P1	13	41566915	41567467
ENSG00000264226	MIR3168	13	41675155	41675236
ENSG00000199698	Y_RNA	21	24804501	24804602
ENSG00000244264	RN7SL597P	13	41696012	41696305
ENSG00000227716	AP000459.7	21	24849960	24863043
ENSG00000215482	CALM2P3	13	41744836	41745284
ENSG00000231986	AP000474.1	21	25261114	25262857
ENSG00000238651	snoU13	13	41754117	41754223
ENSG00000225133	MORF4L1P4	13	41773968	41774943
ENSG00000235564	AP000477.2	21	25333220	25339588
ENSG00000231404	RAC1P3	13	41861877	41862456
ENSG00000226996	AP000477.3	21	25415572	25422601
ENSG00000264695	RP11-178F10.2	18	22069339	22071044
ENSG00000223280	RNU6-57P	13	41928693	41928795
ENSG00000224018	AP000470.2	21	25527484	25560655
ENSG00000266489	RP11-178F10.3	18	22096847	22097970
ENSG00000214222	TUBBP2	13	41958909	41959319
ENSG00000224832	AP000469.2	21	25676863	25693690
ENSG00000266181	RP11-178F10.4	18	22102237	22102883
ENSG00000205240	OR7E36P	13	42005425	42006446
ENSG00000237484	AP000476.1	21	25801054	25920256
ENSG00000265485	RP11-449D8.1	18	22208146	22242162
ENSG00000234655	OR7E155P	13	42013952	42015035
ENSG00000263553	RP11-449D8.2	18	22253127	22254312
ENSG00000266520	RAC1P1	18	22265736	22266315
ENSG00000215480	OR7E37P	13	42016906	42017786
ENSG00000266809	RP11-449D8.3	18	22269878	22270125
ENSG00000263907	AL354833.1	13	42019427	42019503
ENSG00000266573	RP11-449D8.5	18	22305745	22509040
ENSG00000263928	AL354833.2	13	42020193	42020261
ENSG00000264042	AL354833.3	13	42024148	42024235
ENSG00000264190	MIR5006	13	42142422	42142531
ENSG00000241406	RN7SL515P	13	42381813	42382108
ENSG00000206962	RNU6-74P	13	42479254	42479360
ENSG00000264345	RP11-958F21.1	18	22513451	22567646
ENSG00000229696	KARSP1	13	42499734	42501485
ENSG00000229248	WBP2P1	18	22596398	22597168
ENSG00000226093	RPS28P8	13	42577566	42577773
ENSG00000231530	RP11-187A9.3	13	42617863	42618383
ENSG00000265552	RP11-958F21.3	18	22635564	22636724
ENSG00000237263	MAPK6PS3	13	42643068	42645229
ENSG00000264434	CTD-2006O16.2	18	22882090	22882920
ENSG00000265679	AL139328.1	13	42747126	42747223
ENSG00000242216	RN7SL97P	18	23398200	23398496
ENSG00000270809	CHCHD2P11	13	42755601	42756057
ENSG00000264193	RP11-737G21.1	18	23533180	23533432
ENSG00000234213	FHP1	13	42830009	42830711
ENSG00000243925	RPS24P18	18	23678803	23679190
ENSG00000260703	TTC25	HG185_PATCH	40086887	40121903
ENSG00000233259	FABP3P2	13	42943374	42943793
