SAMPLE	GENDER
GTEX-OXRK-1826-SM-2HMJE	Female
GTEX-OXRO-1726-SM-3LK6C	Female
GTEX-OXRP-2326-SM-2S1NL	Female
GTEX-P4PP-1626-SM-2HMJF	Female
GTEX-P4QT-1626-SM-2S1NP	Female
GTEX-P78B-1626-SM-2S1O1	Female
GTEX-PLZ4-0926-SM-2S1OI	Female
GTEX-POMQ-1926-SM-3NB1Y	Female
GTEX-PWN1-1626-SM-2S1OL	Female
GTEX-PWOO-2326-SM-2S1PQ	Female
GTEX-PX3G-1626-SM-2S1PT	Female
GTEX-Q2AG-0426-SM-2S1PU	Female
GTEX-Q734-2026-SM-3GADA	Female
GTEX-QCQG-2126-SM-2S1P8	Female
GTEX-QDT8-0526-SM-3NMD8	Female
GTEX-QVJO-0126-SM-3GIK4	Female
GTEX-QVUS-0226-SM-3GIJY	Female
GTEX-R3RS-0526-SM-3GADG	Female
GTEX-R53T-1826-SM-3GIJX	Female
GTEX-R55G-2326-SM-2TC61	Female
GTEX-RNOR-0526-SM-2TF4O	Female
GTEX-RTLS-0526-SM-2TF64	Female
GTEX-RU1J-1726-SM-2TF5S	Female
GTEX-RU72-1326-SM-2TF6T	Female
GTEX-RWS6-2126-SM-2XCAV	Female
GTEX-S32W-2326-SM-2XCAW	Female
GTEX-S341-1826-SM-3K2AB	Female
GTEX-S4P3-1626-SM-3K2AZ	Female
GTEX-S4UY-0526-SM-3K2AN	Female
GTEX-S7SF-2026-SM-3K2AS	Female
GTEX-SN8G-0326-SM-32PLG	Female
GTEX-T2IS-2626-SM-32QPP	Female
GTEX-T5JW-1826-SM-3GAE1	Female
GTEX-TML8-1826-SM-32QOR	Female
GTEX-TMMY-0426-SM-33HBB	Female
GTEX-TSE9-0526-SM-3DB7Z	Female
GTEX-U3ZN-2226-SM-3DB88	Female
GTEX-UJHI-1726-SM-3DB9B	Female
GTEX-VJWN-0426-SM-3GIJI	Female
GTEX-W5WG-1926-SM-4KKZK	Female
GTEX-WRHK-1626-SM-3MJFH	Female
GTEX-WRHU-0826-SM-3MJFN	Female
GTEX-WWYW-0526-SM-3NB2W	Female
GTEX-WXYG-2526-SM-3NB3F	Female
GTEX-WYVS-2326-SM-3NMAI	Female
GTEX-X4EO-0526-SM-3P5Z3	Female
GTEX-X638-0326-SM-47JY1	Female
GTEX-X8HC-0526-SM-4E3JA	Female
GTEX-XOT4-0526-SM-4B66O	Female
GTEX-XUJ4-2626-SM-4BOQ3	Female
GTEX-XUW1-0826-SM-4BOP6	Female
GTEX-XUZC-2126-SM-4BRW8	Female
GTEX-XV7Q-2926-SM-4BRUL	Female
GTEX-XYKS-2426-SM-4AT43	Female
