Name	Genes (tot)	Stat (dist.dir.up)	p (dist.dir.up)	p adj (dist.dir.up)	Stat (dist.dir.dn)	p (dist.dir.dn)	p adj (dist.dir.dn)	Stat (non-dir.)	p (non-dir.)	p adj (non-dir.)	Genes (up)	Stat (mix.dir.up)	p (mix.dir.up)	p adj (mix.dir.up)	Genes (down)	Stat (mix.dir.dn)	p (mix.dir.dn)	p adj (mix.dir.dn)
CTP[c]	66	-14.938	0.72228	0.99976	40.768	0.11338	0.38349	55.627	8.5222e-05	0.026906	21	34.226	0.00024113	0.073167	45	43.987	0.045224	0.46639
D-tagatose-6-phosphate[c]	7	0.35999	0.23925	0.88272	17.194	0.21114	0.57223	25.856	0.0052113	0.094452	3	18.293	0.021768	0.14204	4	18.362	0.043965	0.46205
ITP[c]	18	0.9253	0.13912	0.81038	16.682	0.43103	0.79745	34.247	0.0020295	0.094452	8	24.253	0.0056117	0.12041	10	24.255	0.056781	0.51104
IDP[c]	17	2.5016	0.086604	0.73707	15.616	0.4569	0.81174	33.716	0.001566	0.094452	8	24.253	0.0056117	0.12041	9	23.473	0.051455	0.50027
UDP-galactose[g]	61	-12.938	0.64925	0.99976	32.209	0.33116	0.72521	41.007	0.061675	0.16521	25	17.513	0.1743	0.33424	36	38.785	0.08934	0.54572
glyceraldehyde[c]	17	-15.349	0.95136	0.99976	35.53	0.011757	0.082485	29.044	0.016604	0.10952	3	16.516	0.038646	0.18682	14	24.359	0.18387	0.60658
galactose[l]	10	-12.799	0.93328	0.99976	33.53	0.00542	0.051603	24.384	0.027108	0.1276	2	10.894	0.13266	0.31023	8	21.814	0.067752	0.53213
fructose-2,6-bisphosphate[c]	5	3.1524	0.14827	0.81038	2.9779	0.71923	0.9623	12.666	0.28526	0.42011	2	11.742	0.10805	0.30375	3	6.765	0.72091	0.90563
D-glucitol[c]	15	15.496	0.00062404	0.12538	-4.7751	0.97296	0.98635	33.061	0.0020476	0.094452	10	29.258	0.00055217	0.08771	5	15.886	0.19139	0.62026
sorbitol-3-phosphate[c]	5	-1.7945	0.41378	0.99976	1.7944	0.76125	0.9623	13.024	0.26489	0.39766	2	8.9318	0.20357	0.3586	3	9.5217	0.49426	0.79202
fructose-3-phosphate[c]	5	-1.7945	0.41378	0.99976	1.7944	0.76125	0.9623	13.024	0.26489	0.39766	2	8.9318	0.20357	0.3586	3	9.5217	0.49426	0.79202
mannose-1-phosphate[c]	15	5.0422	0.056176	0.73707	-3.5928	0.96443	0.98394	25.03	0.063678	0.16915	8	20.591	0.02195	0.14204	7	14.627	0.48587	0.78609
D-mannose-1,6-bisphosphate[c]	5	-1.7945	0.41378	0.99976	1.7944	0.76125	0.9623	13.024	0.26489	0.39766	2	8.9318	0.20357	0.3586	3	9.5217	0.49426	0.79202
mannose-6-phosphate[c]	9	12.554	0.0031758	0.25066	-10.155	0.98843	0.99247	21.148	0.06314	0.16812	6	20.648	0.01605	0.14204	3	7.4285	0.67045	0.8871
GDP[c]	54	-5.5678	0.23433	0.87185	26.782	0.49808	0.85728	51.982	6.4589e-05	0.026906	22	34.683	0.00024802	0.073167	32	38.769	0.035138	0.42638
GDP-mannose[c]	11	13.714	0.00073314	0.13502	-8.267	0.9903	0.993	25.905	0.021948	0.12464	8	23.138	0.0087214	0.12041	3	11.82	0.30343	0.669
GTP[c]	96	-14.99	0.59275	0.99976	39.702	0.32613	0.72521	63.858	9.6652e-06	0.00712	33	39.064	4.3676e-05	0.030064	63	50.556	0.049324	0.48792
GDP-L-fucose[c]	12	-6.1317	0.5918	0.99976	13.879	0.42968	0.79745	23.514	0.056006	0.15311	5	12.582	0.1491	0.32477	7	20.153	0.10453	0.54572
mannose[c]	8	8.9518	0.01417	0.52224	-6.9498	0.97134	0.98534	19.735	0.075884	0.18411	5	18.159	0.034163	0.17985	3	8.7831	0.55819	0.7965
xylitol[c]	5	-0.49493	0.33183	0.92789	6.9321	0.55842	0.92789	15.879	0.13245	0.25744	2	11.995	0.10138	0.30375	3	10.706	0.39276	0.72062
D-xylulose-5-phosphate[c]	5	4.9307	0.089982	0.73707	-3.3687	0.8991	0.9791	3.9534	0.82061	0.9495	4	2.1342	0.64402	0.78092	1	4.5716	0.57482	0.7965
UMP[c]	22	0.0023487	0.13561	0.81038	3.4369	0.93545	0.9791	27.969	0.059396	0.16027	10	20.447	0.024822	0.1448	12	19.205	0.45611	0.76336
glucuronate[c]	6	-14.14	0.95943	0.99976	19.473	0.12893	0.42526	14.028	0.25298	0.39464	0	NA	NA	NA	6	14.028	0.43174	0.74499
GSH[c]	81	-31.106	0.99919	0.99976	66.295	9.24e-05	0.0040841	55.645	0.00059909	0.077881	18	22.931	0.02958	0.16288	63	50.838	0.043343	0.45769
(R)-S-lactoylglutathione[c]	11	-13.057	0.92933	0.99976	20.935	0.14824	0.4647	13.743	0.49961	0.63639	1	6.787	0.27381	0.41945	10	12.267	0.85015	0.95875
lactaldehyde[c]	17	-18.155	0.98354	0.99976	34.32	0.016423	0.097945	24.548	0.090804	0.20948	2	11.995	0.10138	0.30375	15	21.753	0.44945	0.76303
propane-1,2-diol[c]	12	-10.464	0.83312	0.99976	18.39	0.24509	0.62117	16.978	0.31959	0.44852	2	11.995	0.10138	0.30375	10	13.234	0.79553	0.91972
D-lactate[c]	16	-11.917	0.84056	0.99976	29.086	0.061685	0.25868	26.645	0.04678	0.14396	5	11.551	0.18523	0.33641	11	24.348	0.072619	0.54345
ferricytochrome C[m]	34	-13.403	0.82549	0.99976	29.613	0.17045	0.51385	23.712	0.5007	0.63694	14	0.74196	0.85016	0.92691	20	30.296	0.08773	0.54572
ferrocytochrome C[m]	34	-13.403	0.82549	0.99976	29.613	0.17045	0.51385	23.712	0.5007	0.63694	14	0.74196	0.85016	0.92691	20	30.296	0.08773	0.54572
malate[m]	7	-7.6586	0.73402	0.99976	17.534	0.20068	0.57078	18.955	0.079711	0.19086	2	9.0829	0.19742	0.35327	5	16.683	0.14689	0.5667
malate[c]	8	-8.9903	0.80553	0.99976	18.228	0.18048	0.52899	20.726	0.054047	0.14956	2	10.297	0.15215	0.33074	6	17.987	0.13787	0.55484
CO2[c]	79	-4.6764	0.086011	0.73707	22.564	0.87874	0.96733	48.32	0.017574	0.11111	34	31.348	0.0033106	0.12041	45	36.774	0.465	0.76377
OAA[c]	6	0.15076	0.29066	0.92789	1.4472	0.78417	0.9623	12.916	0.31738	0.44852	3	6.921	0.34224	0.50051	3	11.346	0.34043	0.70948
GTP[m]	17	-18.408	0.98521	0.99976	44.438	0.0006195	0.019283	34.077	0.0012716	0.094452	3	14.158	0.076034	0.26657	14	30.997	0.008205	0.32381
OAA[m]	6	-0.90318	0.35117	0.95696	12.046	0.36645	0.76115	18.575	0.074548	0.18225	3	11.397	0.14895	0.32477	3	14.871	0.11928	0.54572
GDP[m]	22	-16.9	0.96036	0.99976	45.351	0.00083893	0.023469	37.151	0.00088559	0.093198	5	17.54	0.041286	0.18682	17	32.75	0.0092631	0.32381
HCO3-[m]	9	-10.57	0.86944	0.99976	19.28	0.15955	0.48904	17.941	0.16307	0.30233	2	7.8995	0.24856	0.39801	7	16.121	0.3574	0.718
D-lactaldehyde[c]	17	-21.826	0.99706	0.99976	37.669	0.0062692	0.051603	23.955	0.10912	0.22796	1	7.496	0.2396	0.39553	16	22.819	0.39921	0.72583
lactaldehyde[m]	5	-18.164	0.99406	0.99976	35.691	0.0013212	0.030416	20.581	0.027671	0.1276	0	NA	NA	NA	5	20.581	0.027684	0.38901
L-lactate[m]	7	-9.4899	0.82371	0.99976	25.623	0.043265	0.20257	23.167	0.017356	0.11111	2	10.801	0.13559	0.315	5	20.581	0.027684	0.38901
GSH[m]	40	-26.472	0.9983	0.99976	54.166	0.00056812	0.018323	40.946	0.0049763	0.094452	8	11.913	0.21729	0.37674	32	39.822	0.020381	0.37063
propanoyl-CoA[c]	25	0.48173	0.10594	0.73707	20.723	0.39139	0.77934	35.245	0.0077637	0.094452	11	25.862	0.004845	0.12041	14	24.174	0.19516	0.62637
propanoate[c]	17	-11.162	0.82888	0.99976	24.65	0.1386	0.44913	23.18	0.13689	0.26445	4	12.638	0.12424	0.30985	13	19.497	0.51349	0.79202
FAD[m]	36	-9.1247	0.56689	0.99976	22.682	0.43325	0.79745	44.925	0.0001709	0.031475	12	30.223	0.00048973	0.084648	24	33.651	0.056099	0.51104
propanoyl-CoA[m]	43	-18.975	0.95685	0.99976	34.399	0.11461	0.38669	45.963	0.00037711	0.059529	10	27.954	0.0010696	0.11803	33	37.079	0.080938	0.54522
acrylyl-CoA[m]	9	1.4233	0.19093	0.81038	4.7916	0.72972	0.9623	24.127	0.020814	0.11948	4	19.066	0.018482	0.14204	5	15.317	0.22771	0.63481
FADH2[m]	36	-9.1247	0.56689	0.99976	22.682	0.43325	0.79745	44.925	0.0001709	0.031475	12	30.223	0.00048973	0.084648	24	33.651	0.056099	0.51104
propanoate[m]	9	-17.317	0.98771	0.99976	30.381	0.012923	0.088697	16.667	0.2223	0.37359	0	NA	NA	NA	9	16.667	0.4706	0.76651
malonyl-CoA[c]	14	-5.5392	0.56107	0.99976	21.129	0.18421	0.53849	28.425	0.014978	0.10522	5	18.269	0.033013	0.17503	9	21.835	0.10451	0.54572
acetyl-CoA[p]	10	-7.9084	0.74756	0.99976	16.575	0.26005	0.64972	23.982	0.031593	0.1332	3	13.466	0.091071	0.30125	7	19.849	0.11724	0.54572
3-hydroxypropionyl-CoA[m]	34	-15.224	0.89127	0.99976	32.571	0.10262	0.35715	40.579	0.0022596	0.094452	9	24.146	0.005748	0.12041	25	32.836	0.096306	0.54572
3-oxopropionyl-CoA[m]	31	-15.645	0.90967	0.99976	33.471	0.06907	0.27671	38.625	0.0045182	0.094452	8	22.061	0.013071	0.14204	23	31.832	0.09581	0.54572
AKG[c]	42	-13.735	0.78642	0.99976	35.401	0.10012	0.35347	37.392	0.029794	0.1276	14	17.118	0.10727	0.30375	28	33.691	0.13831	0.55484
FADH2[c]	34	-2.0313	0.17945	0.81038	8.982	0.89248	0.9767	17.865	0.83811	0.96621	16	9.8391	0.43743	0.60494	18	15.276	0.96218	1
FAD[c]	46	-3.1884	0.15722	0.81038	11.552	0.91971	0.9791	23.805	0.74628	0.87634	21	14.37	0.26972	0.4138	25	19.121	0.96855	1
acetoacetate[c]	9	-4.4401	0.54081	0.99976	14.268	0.32998	0.72521	17.282	0.19232	0.33231	3	10.807	0.16923	0.33422	6	13.524	0.478	0.77574
butyryl-CoA[m]	30	6.3683	0.0099537	0.52224	5.9474	0.93605	0.9791	41.18	0.00049852	0.068858	15	33.192	0.00016937	0.069949	15	25.045	0.18875	0.6144
crotonyl-CoA[m]	11	-3.3834	0.41673	0.99976	12.944	0.45281	0.81161	26.988	0.014105	0.10437	4	19.066	0.018482	0.14204	7	19.419	0.13699	0.5548
acetoacetate[m]	8	-16.428	0.98331	0.99976	34.903	0.002739	0.044184	19.676	0.077369	0.18646	1	3.6314	0.44891	0.60494	7	19.662	0.12557	0.54572
acetoacetyl-CoA[p]	5	-1.0359	0.36523	0.98499	2.7376	0.72804	0.9623	18.941	0.050844	0.14443	2	14.204	0.055412	0.21707	3	12.855	0.2297	0.63481
CoA[p]	35	-14.5	0.85103	0.99976	33.977	0.088874	0.32473	39.667	0.0034974	0.094452	9	23.095	0.0087625	0.12041	26	32.435	0.15043	0.57439
2-hydroxybutyrate[c]	12	-4.9843	0.51501	0.99976	13.496	0.44684	0.80351	15.678	0.40283	0.5376	5	7.3071	0.38204	0.54733	7	14.352	0.51015	0.79202
2-oxobutyrate[c]	16	-11.046	0.80302	0.99976	21.683	0.23055	0.59033	20.586	0.25489	0.39487	5	7.3071	0.38204	0.54733	11	19.901	0.32598	0.6931
ribose-5-phosphate[c]	15	-8.9009	0.72564	0.99976	16.912	0.38006	0.77506	16.4	0.46884	0.60792	6	1.74	0.71983	0.83649	9	19.751	0.21784	0.63481
PRPP[c]	10	-10.035	0.84835	0.99976	19.402	0.16834	0.51175	16.33	0.28215	0.41625	3	2.6717	0.5777	0.71952	7	17.77	0.23282	0.63481
NADP+[r]	100	-14.405	0.53882	0.99976	34.56	0.5729	0.93687	44.506	0.26539	0.39766	37	21.145	0.13807	0.31619	63	39.868	0.75212	0.90563
NADPH[r]	100	-14.405	0.53882	0.99976	34.56	0.5729	0.93687	44.506	0.26539	0.39766	37	21.145	0.13807	0.31619	63	39.868	0.75212	0.90563
ribose[c]	5	-12.641	0.94446	0.99976	18.483	0.13143	0.42968	13.15	0.25792	0.39611	0	NA	NA	NA	5	13.15	0.39555	0.72506
ribose-1-phosphate[c]	5	8.5386	0.025988	0.66831	-7.2049	0.95516	0.98394	15.798	0.13544	0.2621	3	15.811	0.04779	0.19816	2	5.6141	0.67676	0.89385
6-phospho-D-gluconate[c]	5	-9.9238	0.87278	0.99976	27.812	0.016076	0.097945	20.804	0.025333	0.1276	1	8.9405	0.17773	0.33424	4	18.79	0.035726	0.42638
sedoheptulose-7-phosphate[c]	8	9.7416	0.009983	0.52224	-2.0104	0.91128	0.9791	15.861	0.22497	0.37666	6	12.3	0.17366	0.33424	2	10.418	0.26395	0.63481
2-deoxy-D-ribose-1-phosphate[c]	6	5.1789	0.087051	0.73707	2.1077	0.76303	0.9623	19.584	0.053128	0.14825	3	16.858	0.034755	0.18169	3	10.837	0.38184	0.718
NADH[r]	42	-25.035	0.9965	0.99976	46.511	0.0062012	0.051603	41.372	0.0050991	0.094452	7	19.87	0.022807	0.14204	35	36.435	0.15949	0.59209
NAD+[r]	42	-25.035	0.9965	0.99976	46.511	0.0062012	0.051603	41.372	0.0050991	0.094452	7	19.87	0.022807	0.14204	35	36.435	0.15949	0.59209
cAMP[c]	45	-13.157	0.73981	0.99976	35.539	0.10912	0.3763	40.02	0.022052	0.12464	16	20.357	0.047723	0.19816	29	34.731	0.096166	0.54572
adenosine[c]	25	-18.027	0.96825	0.99976	36.809	0.019189	0.10902	31.7	0.033147	0.13456	6	8.835	0.32983	0.48408	19	31.397	0.03468	0.42638
AMP[s]	19	-9.3294	0.71553	0.99976	15.676	0.51134	0.87466	24.405	0.1255	0.24677	6	11.374	0.21003	0.36694	13	21.778	0.3141	0.68231
adenosine[s]	18	-16.635	0.96547	0.99976	32.296	0.032076	0.1591	24.492	0.11012	0.22796	4	3.5104	0.56736	0.7092	14	25.895	0.10608	0.54572
Pi[s]	50	-19.041	0.94166	0.99976	38.195	0.081906	0.31049	36.979	0.087491	0.20353	13	15.639	0.15568	0.33422	37	33.717	0.41817	0.73042
adenosine[m]	11	-7.8201	0.7125	0.99976	12.098	0.49181	0.8498	14.191	0.47	0.60885	3	3.6279	0.52411	0.67098	8	14.419	0.58606	0.80537
GMP[c]	47	-10.299	0.53797	0.99976	26.364	0.43914	0.79745	39.05	0.026148	0.1276	16	23.21	0.018903	0.14204	31	31.408	0.36602	0.718
