Name	Genes (tot)	Stat (dist.dir.up)	p (dist.dir.up)	p adj (dist.dir.up)	Stat (dist.dir.dn)	p (dist.dir.dn)	p adj (dist.dir.dn)	Stat (non-dir.)	p (non-dir.)	p adj (non-dir.)	Genes (up)	Stat (mix.dir.up)	p (mix.dir.up)	p adj (mix.dir.up)	Genes (down)	Stat (mix.dir.dn)	p (mix.dir.dn)	p adj (mix.dir.dn)
Beta oxidation of even-chain fatty acids (peroxisomal)	6	-2.2174	0.4192	0.99988	8.5824	0.51011	0.69091	16.757	0.11615	0.15402	2	12.678	0.080636	0.15978	4	11.559	0.46336	0.59735
Beta oxidation of unsaturated fatty acids (n-9) (peroxisomal)	8	-7.201	0.72748	0.99988	17.332	0.20986	0.40827	19.993	0.081227	0.11588	2	12.678	0.080636	0.15978	6	15.767	0.26748	0.40887
Beta oxidation of phytanic acid (peroxisomal)	20	-2.3698	0.25638	0.99988	9.5295	0.77321	0.87087	23.116	0.21976	0.27993	8	14.284	0.12598	0.20424	12	18.18	0.54953	0.68372
Beta oxidation of di-unsaturated fatty acids (n-6) (peroxisomal)	10	-11.633	0.89293	0.99988	24.826	0.074083	0.19817	23.29	0.040376	0.067503	2	12.678	0.080636	0.15978	8	19.7	0.16798	0.30464
Beta oxidation of even-chain fatty acids (mitochondrial)	12	0.19269	0.21171	0.99988	9.7699	0.60618	0.78146	28.935	0.0060674	0.017546	5	21.949	0.0064283	0.031265	7	19.335	0.12429	0.26207
Beta oxidation of odd-chain fatty acids (mitochondrial)	11	1.9397	0.13759	0.92014	8.4659	0.64847	0.80678	28.519	0.0046484	0.016579	5	21.949	0.0064283	0.031265	6	18.579	0.10361	0.25159
Beta oxidation of unsaturated fatty acids (n-7) (mitochondrial)	19	1.3714	0.095546	0.68156	10.924	0.7225	0.8403	35.339	0.00078667	0.0064197	8	27.808	0.00093955	0.0091392	11	22.73	0.13682	0.26965
Beta oxidation of unsaturated fatty acids (n-9) (mitochondrial)	13	3.1644	0.082106	0.67579	7.3762	0.74147	0.84955	31.338	0.0021465	0.0099858	6	24.79	0.0026152	0.016146	7	19.756	0.10623	0.25159
Beta oxidation of di-unsaturated fatty acids (n-6) (mitochondrial)	15	-1.2935	0.25563	0.99988	14.479	0.4686	0.66854	33.589	0.0011541	0.0072638	6	24.79	0.0026152	0.016146	9	23.123	0.063805	0.21443
Beta oxidation of poly-unsaturated fatty acids (mitochondrial)	10	-6.8847	0.66862	0.99988	20.38	0.16833	0.36023	25.45	0.017314	0.035628	3	16.104	0.041514	0.11303	7	19.876	0.10142	0.25159
Beta oxidation of branched-chain fatty acids (mitochondrial)	9	0.09243	0.21038	0.99988	10.247	0.55591	0.73436	25.86	0.0084442	0.022037	4	18.718	0.020032	0.066981	5	17.953	0.092853	0.23663
Terpenoid backbone biosynthesis	15	-3.7981	0.40659	0.99988	14.247	0.47878	0.67408	26.294	0.035655	0.061533	6	16.716	0.050397	0.11983	9	20.297	0.18228	0.30624
Steroid metabolism	97	-11.87	0.37722	0.99988	26.648	0.8486	0.90801	27.236	0.98779	0.99711	36	9.4707	0.71464	0.7424	61	27.069	0.99987	0.99987
Androgen metabolism	27	-14.072	0.87906	0.99988	25.772	0.22177	0.4108	30.807	0.053359	0.081563	6	15.883	0.063992	0.14885	21	26.442	0.3489	0.47862
Cholesterol biosynthesis 1 (Bloch pathway)	20	-6.7221	0.53928	0.99988	34.141	0.020422	0.087407	35.165	0.0022885	0.010203	8	18.101	0.044594	0.11361	12	30.618	0.0030488	0.065243
Cholesterol biosynthesis 3  (Kandustch-Russell pathway)	9	8.4414	0.01353	0.18096	6.1637	0.71885	0.8403	26.605	0.0058414	0.017546	6	20.182	0.016367	0.058377	3	17.539	0.027073	0.16094
Cholesterol metabolism	12	-11.682	0.87754	0.99988	31.297	0.018978	0.084612	28.583	0.0071806	0.019701	3	15.606	0.048231	0.11729	9	23.994	0.043273	0.18521
Estrogen metabolism	71	-26.609	0.99344	0.99988	48.681	0.025155	0.099687	38.208	0.27217	0.33312	16	10.808	0.39537	0.45489	55	37.581	0.71387	0.82134
Glycerolipid metabolism	62	-21.235	0.94974	0.99988	38.949	0.14721	0.32816	36.411	0.2559	0.31839	16	17.558	0.11453	0.19148	46	31.916	0.84148	0.92823
Glycerophospholipid metabolism	99	-26.445	0.98525	0.99988	50.25	0.057983	0.17234	53.766	0.013126	0.029163	31	21.49	0.09588	0.17708	68	50.365	0.10816	0.25159
Glycosphingolipid biosynthesis-ganglio series	27	-19.126	0.97825	0.99988	47.092	0.0010124	0.0099354	30.744	0.05453	0.082179	6	9.1606	0.28658	0.35656	21	29.964	0.12375	0.26207
Glycosphingolipid biosynthesis-globo series	14	-16.112	0.971	0.99988	37.06	0.003858	0.027521	28.415	0.011195	0.027225	3	11.438	0.14302	0.22179	11	26.084	0.032186	0.17004
Glycosphingolipid biosynthesis-lacto and neolacto series	24	-9.0453	0.64664	0.99988	19.768	0.4175	0.64036	29.439	0.050095	0.077684	9	16.034	0.07518	0.15773	15	24.819	0.17895	0.30624
Glycosphingolipid metabolism	76	-18.921	0.88184	0.99988	57.346	0.0015862	0.013056	51.69	0.0036242	0.014915	30	19.64	0.15123	0.23117	46	50.58	0.00097439	0.05666
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	26	-20.094	0.98137	0.99988	41.168	0.006967	0.039696	36.697	0.002789	0.011937	5	16.599	0.044386	0.11361	21	32.734	0.039163	0.17831
Glucocorticoid biosynthesis	10	-8.8709	0.78033	0.99988	13.002	0.43828	0.65133	7.3373	0.83107	0.87181	3	-6.32	0.92918	0.93794	7	12.907	0.60571	0.74495
prostaglandin biosynthesis	42	-28.1	0.99937	0.99988	45.095	0.0098299	0.045731	41.42	0.0045551	0.016579	5	19.624	0.015927	0.058377	37	36.916	0.18191	0.30624
Ether lipid metabolism	39	-12.079	0.69868	0.99988	27.677	0.30248	0.51374	27.102	0.39713	0.44729	14	10.895	0.34545	0.4107	25	25.697	0.6218	0.75605
Transport, nuclear	77	-6.5421	0.15972	0.99988	34.522	0.41196	0.64036	59.961	1.7597e-05	0.00047488	31	37.752	0.0001651	0.0025237	46	46.586	0.013184	0.10879
Chondroitin / heparan sulfate biosynthesis	43	-7.9934	0.4309	0.99988	19.432	0.68597	0.82471	36.876	0.043979	0.071091	15	22.621	0.019847	0.066981	28	29.141	0.4571	0.59735
Chondroitin sulfate degradation	17	-16.801	0.96991	0.99988	42.827	0.00095209	0.0099354	29.384	0.015139	0.031762	4	11.204	0.17486	0.25283	13	27.387	0.029831	0.16799
Heparan sulfate degradation	13	-13.477	0.92461	0.99988	35.926	0.0055308	0.034811	27.923	0.011846	0.028167	3	12.903	0.10095	0.17708	10	24.77	0.045586	0.18761
Keratan sulfate biosynthesis	21	-13.418	0.86998	0.99988	33.432	0.041179	0.13352	30.318	0.022757	0.041983	6	14.235	0.099019	0.17708	15	26.869	0.08091	0.23031
Keratan sulfate degradation	13	-15.776	0.96618	0.99988	37.581	0.0032097	0.024531	29.594	0.0053482	0.017341	3	11.67	0.13565	0.21346	10	27.35	0.011725	0.10879
Bile acid biosynthesis	92	-25.794	0.98148	0.99988	56.723	0.0070487	0.039696	55.911	0.0012682	0.0075386	24	27.187	0.00961	0.039549	68	48.882	0.18317	0.30624
Bile acid recycling	15	-1.0241	0.24131	0.99988	5.299	0.82481	0.90311	8.3168	0.89652	0.92238	7	4.4552	0.56882	0.60863	8	7.2208	0.97222	0.99987
Blood group biosynthesis	15	-11.491	0.85436	0.99988	18.237	0.31091	0.5198	23.833	0.083204	0.11714	4	11.777	0.15377	0.23175	11	20.729	0.25966	0.40265
Nicotinate and nicotinamide metabolism	44	-19.076	0.95001	0.99988	36.301	0.089092	0.22697	35.472	0.088415	0.12129	14	8.6511	0.47086	0.51575	30	37.048	0.050899	0.19878
Pantothenate and CoA biosynthesis	15	-15.264	0.95437	0.99988	22.155	0.17736	0.36471	24.94	0.057907	0.085525	4	8.9166	0.27601	0.34744	11	23.747	0.092815	0.23663
Inositol phosphate metabolism	101	-18.816	0.78532	0.99988	43.897	0.21671	0.4108	62.737	5.9474e-05	0.0010606	36	34.199	0.0014724	0.013093	65	52.753	0.023697	0.15619
Folate metabolism	21	-11.762	0.80381	0.99988	27.305	0.13983	0.31834	34.2	0.0040037	0.0153	6	19.12	0.023637	0.070255	15	28.374	0.039994	0.17831
Biopterin metabolism	10	-2.5956	0.38512	0.99988	8.2885	0.64029	0.80601	13.577	0.46032	0.51307	2	15.01	0.042256	0.11303	8	7.675	0.96484	0.99987
Ascorbate and aldarate metabolism	9	-19.371	0.99328	0.99988	41.145	0.0007374	0.0098628	25.468	0.010186	0.025347	1	4.221	0.38372	0.45118	8	25.52	0.010612	0.10879
Porphyrin metabolism	21	-0.90969	0.17858	0.99988	11.016	0.74633	0.84955	27.751	0.058349	0.085525	10	17.484	0.073607	0.15752	11	21.672	0.19581	0.32233
Riboflavin metabolism	10	-8.2938	0.75027	0.99988	12.425	0.46322	0.66854	12.951	0.5026	0.54876	3	5.9581	0.38815	0.45144	7	11.579	0.7129	0.82134
Serotonin and melatonin biosynthesis	55	-28.67	0.99899	0.99988	55.155	0.0010214	0.0099354	30.975	0.48739	0.53763	12	-1.4237	0.91205	0.92942	43	35.784	0.45972	0.59735
Thiamine metabolism	6	-7.3183	0.75043	0.99988	13.466	0.29956	0.51374	12.27	0.33541	0.3859	2	1.3634	0.56834	0.60863	4	14.064	0.24331	0.38857
Vitamin B6 metabolism	7	-7.6412	0.74459	0.99988	18.43	0.16718	0.36023	23.095	0.018904	0.037458	2	13.215	0.070044	0.15752	5	18.969	0.060838	0.21443
Vitamin D metabolism	10	-7.5482	0.70841	0.99988	19.942	0.18065	0.36471	16.025	0.30343	0.3648	3	7.318	0.31619	0.38446	7	14.362	0.47856	0.60959
Vitamin E metabolism	57	-21.006	0.95717	0.99988	35.846	0.17833	0.36471	26.795	0.77496	0.82921	14	4.294	0.71123	0.7424	43	28.399	0.93872	0.99987
Metabolism of xenobiotics by cytochrome P450	101	-25.775	0.97067	0.99988	51.341	0.057864	0.17234	33.031	0.93006	0.94777	27	5.3948	0.80506	0.82828	74	35.33	0.99576	0.99987
Miscellaneous	32	-6.231	0.41603	0.99988	18.35	0.56594	0.73848	17.833	0.82743	0.87181	10	12.823	0.21748	0.29834	22	12.862	0.9973	0.99987
isolated	7	12.952	0.0036451	0.065656	1.0479	0.82047	0.90311	26.459	0.004	0.0153	5	22.51	0.005084	0.027199	2	13.91	0.069573	0.21443
Pool reactions	19	-13.125	0.87659	0.99988	29.763	0.063887	0.17528	25.281	0.086065	0.1196	5	10.489	0.21059	0.29264	14	23.183	0.25371	0.39922
Transport, lysosomal	24	8.7361	0.0039706	0.065656	9.0171	0.84013	0.90801	37.279	0.0013819	0.0077824	13	29.74	0.00057765	0.0061809	11	22.734	0.13663	0.26965
Transport, Golgi apparatus	31	9.4994	0.0018338	0.065656	6.8115	0.93227	0.98265	47.271	7.7391e-06	0.00041404	17	36.867	3.8747e-05	0.001382	14	29.717	0.014234	0.10879
